,Scar1,Scar2,cellCount1,cellCount2
0,11:43M7D32M,13:46M6D29M,550,172
1,13:46M6D29M,32:75M,172,416
2,32:75M,6:47M3I25M,416,285
3,11:43M7D32M,762:31S44M,550,297
4,392:75M,762:31S44M,290,297
5,392:75M,6:47M3I25M,290,285
6,6:47M3I25M,762:31S44M,285,297
7,11:43M7D32M,392:75M,550,290
8,11:43M7D32M,68:37M12D38M,550,260
9,1584:36S39M,35:43M21D32M,393,212
10,1271:48M10I17M,1461:44M31S,281,342
11,11:43M7D32M,619:50M21D25M,550,163
12,1271:48M10I17M,1584:36S39M,281,393
13,1584:36S39M,37:47M6I22M,393,217
14,1584:36S39M,32:75M,393,416
15,11:43M7D32M,1205:49M6I20M,550,159
16,11:43M7D32M,1584:36S39M,550,393
17,1584:36S39M,68:37M12D38M,393,260
18,1461:44M31S,35:43M21D32M,342,212
19,11:43M7D32M,156:47M2I26M,550,141
20,1461:44M31S,37:47M6I22M,342,217
21,11:43M7D32M,37:47M6I22M,550,217
22,11:43M7D32M,1461:44M31S,550,342
23,1461:44M31S,68:37M12D38M,342,260
24,32:75M,35:43M21D32M,416,212
25,1461:44M31S,32:75M,342,416
26,1271:48M10I17M,32:75M,281,416
27,1461:44M31S,1584:36S39M,342,393
28,11:43M7D32M,1271:48M10I17M,550,281
29,11:43M7D32M,35:43M21D32M,550,212
30,11:43M7D32M,6:47M3I25M,550,285
31,1271:48M10I17M,68:37M12D38M,281,260
32,11:43M7D32M,32:75M,550,416
33,32:75M,68:37M12D38M,416,260
34,32:75M,37:47M6I22M,416,217
